,61_CS_DNA,62_CS_DNA,64_CS_DNA,65_CS_DNA,66_CS_DNA,67_CS_DNA,68_CS_DNA,70_CS_DNA,72_CS_DNA,73_CS_DNA,74_CS_DNA,75_CS_DNA,76_CS_DNA,77_CS_DNA,78_CS_DNA,79_CS_DNA,80_CS_DNA,81_CS_DNA,82_CS_DNA,83_CS_DNA,84_CS_DNA,85_CS_DNA,87_CS_DNA,88_CS_DNA,91_CS_DNA,92_CS_DNA,93_CS_DNA,94_CS_DNA,100_CS_DNA,101_CS_DNA,103_CS_DNA,63_S_DNA,64_S_DNA,65_S_DNA,66_S_DNA,72_S_DNA,96_CS_DNA,98_CS_DNA,99_CS_DNA,61_CS_RNA,62_CS_RNA,64_CS_RNA,65_CS_RNA,66_CS_RNA,67_CS_RNA,68_CS_RNA,70_CS_RNA,72_CS_RNA,75_CS_RNA,77_CS_RNA,K+AB1_C_DNA,K+AB2_C_DNA,K+AB5_C_DNA,K+B+A1_C_DNA,K+B+A2_C_DNA,K+B+A5_C_DNA,K2_C_DNA,K4_C_DNA,K5_C_DNA,63_S_RNA,64_S_RNA,65_S_RNA,66_S_RNA,67_S_RNA,68_S_RNA,70_S_RNA,72_S_RNA,73_S_RNA,74_S_RNA,75_S_RNA,76_S_RNA,77_S_RNA,78_S_RNA,79_S_RNA,80_S_RNA,81_S_RNA,82_S_RNA,84_S_RNA,85_S_RNA,86_S_RNA,88_S_RNA,90_S_RNA,92_S_RNA,93_S_RNA,96_S_RNA,97_S_RNA,98_S_RNA
0131f87e0dd38329605d3d5c66065a78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0137cc439ea2658040e7fd4b18b08b24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0139d2f481d0da1564afe439510eb652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0145d7d343557c89a1d77cfb76509e48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014e8f1cfa17e12e0fbc7975c79095ba,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01558a5674e1982123d7397c4903a569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015c3db67cf69de0ca478193537d7f29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0166feef33a0db4be5d0049b45ee7676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017a0c98c2b9e81297e1d118a5020562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
017c5f92cb5d549bc56c3e42f177ae99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
